,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
Gm28151,0.0135418824871478,0.00948047765132168,0.0166531432894752,0.0186747817993941,0.0128598355598997,0.0294584142924621,0.00353126048342956
Gm28826,0.0207676038859061,0.0119410065451472,0.0446700425876458,0.0218765664870056,0.00787343585398306,0.0160104503073247,0.0268732783667142
C230029F24Rik,0.000756526936141561,0.000710735590013596,0.000723097274371596,0.00399616885542275,0.00157833663521357,0,0
4933411E06Rik,0.00079180475741636,0.00135049397017947,0.00283236141969708,0.00251883331670903,0.00811683771845348,0,0
Tmeff2,3.45320550430147,3.93585707370495,3.67958392931119,6.48018777190709,5.23807587601939,3.24860687954738,3.60429780171161
Gm28319,0.00657433956052961,0.0118369047639589,0.00920527795985843,0.00386900720831365,0.0140889369444383,0.00565543972342329,0.0105908531038084
Gm28320,0.0673012661648354,0.0854428514704655,0.163758792523663,0.16073423850991,0.0903388282106686,0.0849071155554799,0.167928013084004
Gm29325,0.0139039339768632,0.0103287167282192,0.0171260865389918,0.00110503880012235,0,0.0176506713375828,0
9330175M20Rik,0.165272329053007,0.140488874510269,0.0917369003415303,0.0701534323267255,0.198241137278315,0.17532872390298,0.0741315623698107
Cavin2,0.0205519584413312,0.02788683525752,0.0234732267907676,0.030430333454876,0.0059399974867073,0.0248967943020784,0
Nabp1,0.0501070985491002,0.0830318533724026,0.0751912016089378,0.147833046849615,0.057381843800473,0.101976018774562,0.0851467400621989
Gm17767,0.00452438984728809,0.00518377211485855,0,0.00444475261395901,0.00170853955405751,0,0.0323067739492892
Gm28055,0.00360721510611954,0.00305417488949199,0.000660408721674575,0,0.00932138843981336,0,0
